,J [mm/day],Q [mm/day],ET [mm/day]
5/17/1997,0,3.006905028,2.310995567
5/18/1997,17.5,6.069368715,2.277199685
5/19/1997,13,5.692952514,1.400794809
5/20/1997,4.25,5.093497207,2.260619289
5/21/1997,1.25,4.201642458,1.001969114
5/22/1997,3.25,3.680371508,0.613750078
5/23/1997,2,3.58873743,2.605809089
5/24/1997,0,2.976360335,4.864340945
5/25/1997,0,2.592125698,5.764955712
5/26/1997,0,2.317650838,6.397876685
5/27/1997,0,2.133678771,4.033032869
5/28/1997,0,1.911846369,5.163961262
5/29/1997,0,1.725712291,7.125439493
5/30/1997,0,1.584050279,7.570238575
5/31/1997,0,1.47222905,7.192339025
6/1/1997,0,1.367572626,6.639662811
6/2/1997,0,1.270558659,6.762043748
6/3/1997,0,1.215905028,5.256096435
6/4/1997,0,1.179930168,4.419799859
6/5/1997,4.5,1.171935754,2.955372415
6/6/1997,3.25,1.224452514,1.357075597
6/7/1997,4.5,1.168969274,2.23561692
6/8/1997,4.75,1.164972067,2.567380174
6/9/1997,1,1.077234637,3.062442677
6/10/1997,17.5,1.180432961,2.351105879
6/11/1997,11,2.622217877,2.320977425
6/12/1997,2,1.433916201,1.888815007
6/13/1997,5.25,1.418078212,1.028221837
6/14/1997,2.25,1.276416201,1.316894875
6/15/1997,0.5,1.194988827,4.016277244
6/16/1997,0,1.122536313,3.669781506
6/17/1997,0.25,1.082111732,4.461820083
6/18/1997,14.25,1.461243017,2.558659974
6/19/1997,8,2.295578212,2.118402049
6/20/1997,20.25,3.123150838,0.8726678
6/21/1997,70.5,40.79606983,0.779412451
6/22/1997,0.25,12.41140223,2.836712181
6/23/1997,0,6.116354749,1.76423457
6/24/1997,2,4.18349162,2.931019849
6/25/1997,26.75,8.342597765,2.348228482
6/26/1997,14.25,11.15230726,1.074966988
6/27/1997,0.25,6.924243017,2.26992145
6/28/1997,1.25,5.013527933,0.967934958
6/29/1997,0,3.960201117,2.125823945
6/30/1997,0,3.264486034,2.098108321
7/1/1997,2.25,2.792614525,2.555117254
7/2/1997,4.5,2.570505587,1.760382029
7/3/1997,8.5,2.959315642,2.630281711
7/4/1997,0,2.319335196,3.600671646
7/5/1997,0,2.05348324,5.243069784
7/6/1997,0,1.864810056,7.029107079
7/7/1997,0,1.775111732,4.056819849
7/8/1997,0,1.677494413,6.719746998
7/9/1997,3,1.624022346,4.640222464
7/10/1997,0,1.556069832,6.060814389
7/11/1997,0,1.492793296,4.040732684
7/12/1997,0,1.452620112,2.858681862
7/13/1997,3.25,1.484120112,2.150801476
7/14/1997,11.5,1.490002793,3.598298543
7/15/1997,3,1.708617318,1.903635585
7/16/1997,5.75,1.50000838,1.797968698
7/17/1997,6.25,1.808321229,3.271928153
7/18/1997,0,1.397513966,4.705583188
7/19/1997,0,1.272268156,6.137300989
7/20/1997,0,1.205145251,5.398456674
7/21/1997,4.75,1.366189944,3.659562627
7/22/1997,0.25,1.221410615,4.916463969
7/23/1997,0.5,1.14599162,5.293151954
7/24/1997,16.25,1.436430168,2.656154038
7/25/1997,0,1.277069832,3.659649441
7/26/1997,12.5,1.681567039,0.88305385
7/27/1997,0.25,1.400782123,5.105687487
7/28/1997,0,1.182896648,4.855823876
7/29/1997,15.52359023,1.552022346,5.070159716
7/30/1997,0,1.725586592,3.013990033
7/31/1997,20.32582689,2.417681564,1.22843182
8/1/1997,8.55678193,3.00977095,1.100508528
8/2/1997,0,2.417354749,3.693167876
8/3/1997,6.118314105,2.159371508,0.846072698
8/4/1997,3.2555992,2.170910615,1.595674949
8/5/1997,2.25770709,2.066480447,0.85176626
8/6/1997,6.22437589,2.150798883,2.051929016
8/7/1997,0.62990749,2.157460894,4.014989546
8/8/1997,0,1.856212291,4.588174316
8/9/1997,0,1.721086592,6.138281293
8/10/1997,0,1.604664804,6.886855468
8/11/1997,0,1.526782123,3.186879736
8/12/1997,0,1.444701117,3.846811838
8/13/1997,0.25,1.409782123,2.498859489
8/14/1997,0.25,1.327223464,4.720172576
8/15/1997,0,1.247958101,5.316877276
8/16/1997,0,1.172111732,5.675353828
8/17/1997,0.25,1.129424581,4.000049607
8/18/1997,0,1.078265363,4.876381911
8/19/1997,0,1.021650838,4.608419659
8/20/1997,5.5,1.087667598,1.031281129
8/21/1997,18.5,1.457321229,1.254642766
8/22/1997,5.25,1.366441341,3.09990045
8/23/1997,19.75,2.838243017,1.492158631
8/24/1997,6,2.445108939,1.455312008
8/25/1997,3,1.838564246,3.913213931
8/26/1997,0.25,1.501416201,3.036974264
8/27/1997,4,1.463480447,2.283452054
8/28/1997,30,4.917871508,2.395606602
8/29/1997,14.25,9.328701117,2.436064015
8/30/1997,3.5,5.159388268,4.36849022
8/31/1997,19.5,6.960167598,1.105501717
9/1/1997,8.75,9.663536313,2.275869425
9/2/1997,1,5.477681564,2.694645199
9/3/1997,20.25,8.574511173,0.606596726
9/4/1997,5.75,6.788463687,2.670725493
9/5/1997,7.5,6.94872905,2.280458764
9/6/1997,11.5,5.509910615,1.85747513
9/7/1997,2.75,5.74876257,1.640406612
9/8/1997,0.5,4.540751397,1.915852732
9/9/1997,0,3.745960894,4.35190966
9/10/1997,0,3.178784916,4.435891188
9/11/1997,4.75,2.938851955,1.203579704
9/12/1997,9.5,3.183159218,1.645978053
9/13/1997,4.5,2.826804469,1.676758637
9/14/1997,0.75,2.554969274,2.441251383
9/15/1997,13.75,2.862276536,1.156603183
9/16/1997,8,3.356044693,1.199969231
9/17/1997,2,3.826256983,0.793921705
9/18/1997,6,3.358835196,1.700090698
9/19/1997,9.5,5.105614525,0.249729913
9/20/1997,1.25,4.320703911,0.786903887
9/21/1997,0,3.567142458,2.927238686
9/22/1997,0,3.113321229,2.759059511
9/23/1997,0,2.838368715,1.365522059
9/24/1997,0,2.597882682,2.17195259
9/25/1997,0,2.388821229,0.506443985
9/26/1997,0,2.226997207,0.894769349
9/27/1997,0,2.067988827,1.257028555
9/28/1997,0,1.909432961,2.074611207
9/29/1997,3.5,1.854301676,1.042636754
9/30/1997,4.75,1.892061453,0.92952205
10/1/1997,4.25,2.055871508,0.628252324
10/2/1997,0.25,1.81201676,2.309877091
10/3/1997,1,1.681441341,0.951632899
10/4/1997,0,1.597097765,0.867307711
10/5/1997,0.25,1.517656425,1.582782028
10/6/1997,7,1.666558659,0.451010706
10/7/1997,8.45,2.104013966,0.986278449
10/8/1997,27.75,4.359670391,0.389645249
10/9/1997,30.8,17.20458101,1.100877884
10/10/1997,4.7,10.36317318,1.214064941
10/11/1997,24.75,11.79550559,0.295509487
10/12/1997,0.75,10.37617039,1.364513348
10/13/1997,2.6,6.52872067,1.441655219
10/14/1997,23.8,6.334818436,0.366321973
10/15/1997,8,13.88752793,0.82473123
10/16/1997,8.4,7.886312849,0.463789948
10/17/1997,1.5,6.620606145,0.433186182
10/18/1997,0.35,5.128818436,2.434407378
10/19/1997,2.85,4.299536313,1.630336941
10/20/1997,0.25,3.712726257,0.273792041
10/21/1997,0,3.160759777,1.529260629
10/22/1997,0,2.808578212,0.50016104
10/23/1997,0,2.510949721,0.748324515
10/24/1997,0,2.275717877,1.262091002
10/25/1997,0.25,2.1015,1.533981358
10/26/1997,0,1.954307263,0.383925812
10/27/1997,0,1.835547486,0.322939982
10/28/1997,0,1.698837989,0.938673976
10/29/1997,0,1.615701117,1.300524356
10/30/1997,0.25,1.551695531,0.568953745
10/31/1997,0.25,1.484346369,1.563014358
11/1/1997,0.5,1.421597765,0.491796669
11/2/1997,1,1.399399441,0.331115638
11/3/1997,0.25,1.361011173,0.795586238
11/4/1997,1.25,1.303868715,0.187378362
11/5/1997,3.5,1.349120112,0.213397439
11/6/1997,0,1.260955307,0.464174287
11/7/1997,9.75,1.256455307,0.213477134
11/8/1997,17.5,3.304055866,0.498038609
11/9/1997,11.25,3.387368715,0.379973419
11/10/1997,14.5,7.01472067,0.244945408
11/11/1997,1.25,5.107122905,0.284800619
11/12/1997,0,3.64346648,0.718212724
11/13/1997,4.5,3.344581006,0.390252074
11/14/1997,11,4.048315642,0.218395833
11/15/1997,3.25,4.154354749,0.424680034
11/16/1997,10.75,5.595410615,0.335847488
11/17/1997,4.75,4.860150838,0.581719827
11/18/1997,15.25,8.874980447,0.304475041
11/19/1997,4.25,6.855435754,0.440115242
11/20/1997,16.25,8.065407821,0.321030029
11/21/1997,2.5,7.131041899,0.188145191
11/22/1997,0,5.434189944,0.318345511
11/23/1997,6.75,4.708206704,0.181073914
11/24/1997,10.75,7.406949721,0.10425128
11/25/1997,2,5.518784916,0.052407043
11/26/1997,0.25,4.721656425,0.108670464
11/27/1997,0,4.06877933,0.161352147
11/28/1997,60.75,22.70189665,0.140701692
11/29/1997,37.5,40.29568994,0.154190012
11/30/1997,2.25,13.63107821,0.148492856
12/1/1997,0.25,7.70100838,0.039681464
12/2/1997,0.5,5.567153631,0
12/3/1997,0.5,4.438131285,0.276797006
12/4/1997,0.75,3.715240223,0.195797509
12/5/1997,0.5,3.29251676,0.499732098
12/6/1997,1,3.010826816,0.472060785
12/7/1997,7,2.920726257,0.379743905
12/8/1997,17,5.681689944,0.486553023
12/9/1997,24.75,7.357575419,0.322834879
12/10/1997,45,37.50850559,0.269382787
12/11/1997,18.5,16.29905028,0.255444133
12/12/1997,1,10.06290503,0.171260408
12/13/1997,0,6.691575419,0.184838728
12/14/1997,0,5.094150838,0.505132336
12/15/1997,0.25,4.133740223,0.219252165
12/16/1997,0,3.519653631,0.365081283
12/17/1997,0,3.081896648,0.083524757
12/18/1997,10.75,4.067748603,0.1526737
12/19/1997,0,3.218455307,0.197867351
12/20/1997,0,2.813053073,0.359774841
12/21/1997,0.25,2.572240223,0.517806149
12/22/1997,10,3.07503352,0.088199048
12/23/1997,33,13.0667933,0.205730642
12/24/1997,9,11.97894972,0.474849746
12/25/1997,6.5,8.302550279,0.657656299
12/26/1997,5.75,6.421550279,0.425685818
12/27/1997,11,6.823131285,0.186517817
12/28/1997,7.5,6.819184358,0.156894971
12/29/1997,4,5.716759777,0.020534481
12/30/1997,14.5,6.141192737,0.290654398
12/31/1997,14,15.18347765,0.365444049
1/1/1998,14,10.6017486,0.354677734
1/2/1998,13,11.85956145,0.306694279
1/3/1998,37.25,33.14903631,0.769401861
1/4/1998,36.5,24.91315642,0.358189946
1/5/1998,4.75,15.47296089,0
1/6/1998,25,15.16862011,0.167073007
1/7/1998,15.25,16.03747207,0.232202986
1/8/1998,32.25,30.54547207,0.341433287
1/9/1998,2.5,14.37694693,0.424892332
1/10/1998,0,8.253125698,0.968231317
1/11/1998,2.5,6.022206704,0.465349933
1/12/1998,22,9.672134078,0.246674015
1/13/1998,19.25,12.78005028,0.068393907
1/14/1998,15.5,14.81867598,0.274241004
1/15/1998,21.25,13.30340782,0.436085143
1/16/1998,8.5,13.89627654,0.236391265
1/17/1998,7.75,9.25722905,0.315649886
1/18/1998,61.75,34.60733799,0.247591384
1/19/1998,1,15.97867039,0.233208188
1/20/1998,0,8.213782123,0.318507727
1/21/1998,2.25,6.207988827,0.229856433
1/22/1998,1,5.140332402,0.193179047
1/23/1998,0,4.224946927,0.192420015
1/24/1998,0.25,3.622826816,0.509811443
1/25/1998,0,3.171418994,0.41694933
1/26/1998,0,2.812600559,0.309620257
1/27/1998,0,2.541318436,0.131605026
1/28/1998,0,2.300203911,0.182406629
1/29/1998,0,2.114924581,0.081262842
1/30/1998,0.25,1.93728771,0.166005156
1/31/1998,0.25,1.784614525,0.097172512
2/1/1998,0,1.643078212,0.679640975
2/2/1998,0.5,1.546541899,0.787182077
2/3/1998,0.25,1.438969274,0.941197609
2/4/1998,2.5,1.433639665,0.555897619
2/5/1998,1,1.339290503,0.399464469
2/6/1998,24.25,2.655125698,0.547267167
2/7/1998,7.5,4.753382682,0.399497028
2/8/1998,0,2.715863128,0.617815069
2/9/1998,4.25,2.360162011,0.466864453
2/10/1998,17.5,4.558374302,0.321467339
2/11/1998,0.25,4.578460894,0.333709361
2/12/1998,0,3.487072626,0.476882633
2/13/1998,0,3.039837989,0.973243814
2/14/1998,0,2.659550279,2.03041929
2/15/1998,1.25,2.394150838,1.955054751
2/16/1998,1.75,2.238134078,0.334020561
2/17/1998,0,2.047374302,1.600746466
2/18/1998,0,1.877128492,1.137824072
2/19/1998,0.75,1.766513966,0.538914922
2/20/1998,1,1.664949721,1.021651476
2/21/1998,11,2.098634078,0.73920818
2/22/1998,7.25,2.358804469,1.024914005
2/23/1998,3,2.197256983,0.325097303
2/24/1998,0,1.957877095,0.828262529
2/25/1998,0,1.81877933,1.326808447
2/26/1998,8,2.004662011,0.429579938
2/27/1998,11.75,2.484100559,0.739408515
2/28/1998,7.25,2.982670391,0.556065209
3/1/1998,16,4.560586592,0.605386727
3/2/1998,28.5,15.01242737,0.537215127
3/3/1998,113.25,76.54052514,0.520130672
3/4/1998,13.5,34.63918994,1.043915006
3/5/1998,17,12.31760615,0.841471301
3/6/1998,103.25,101.0016453,0.448002139
3/7/1998,14.75,29.35840223,0.972368324
3/8/1998,2.75,13.46100838,0.96685486
3/9/1998,2,7.789701117,1.166407274
3/10/1998,15.25,7.084709497,0.51257014
3/11/1998,4.75,7.924399441,1.728461287
3/12/1998,4.75,5.669497207,0.690624316
3/13/1998,0.5,4.711751397,0.956836289
3/14/1998,0,3.897377095,1.76867756
3/15/1998,0,3.352223464,0.797635113
3/16/1998,0,2.943502793,0.90676103
3/17/1998,0,2.629608939,0.651433461
3/18/1998,0,2.341986034,1.463177753
3/19/1998,0.25,2.12772067,2.426110285
3/20/1998,0,1.948952514,0.688272388
3/21/1998,0,1.77903352,0.94608454
3/22/1998,0,1.64101676,1.417814851
3/23/1998,0,1.53897486,0.718496415
3/24/1998,18,1.761636872,0.603876207
3/25/1998,30.25,6.903201117,0.56440679
3/26/1998,36.75,26.82615922,0.452917798
3/27/1998,1.5,8.828798883,1.28678104
3/28/1998,0.25,5.262134078,2.211982601
3/29/1998,2.5,4.044444134,0.447922291
3/30/1998,0.5,3.327486034,1.195649284
3/31/1998,0,2.808,3.554495952
4/1/1998,5.25,2.531438547,0.302353673
4/2/1998,12.5,2.952050279,2.032688304
4/3/1998,7.75,4.248678771,1.154744526
4/4/1998,29.25,12.30134078,0.604618748
4/5/1998,15.5,18.04014804,0.885942737
4/6/1998,0.5,8.763460894,1.494333937
4/7/1998,2.25,5.633773743,1.847310648
4/8/1998,15.75,6.588603352,0.517992933
4/9/1998,3.5,5.996564246,0.271919871
4/10/1998,1.25,4.72877095,0.803650109
4/11/1998,8.25,4.33048324,0.887354332
4/12/1998,1.75,3.801368715,1.766125125
4/13/1998,2,3.392421788,2.139484275
4/14/1998,9.75,3.533405028,1.159546852
4/15/1998,9,3.735955307,1.717270487
4/16/1998,6.75,3.876184358,1.205983777
4/17/1998,0,3.513092179,2.989382082
4/18/1998,0.25,3.089941341,2.992108043
4/19/1998,11,3.485337989,0.38430928
4/20/1998,7.75,4.597114525,1.603278985
4/21/1998,9,4.145203911,0.511806096
4/22/1998,4.5,4.61775419,0.796776882
4/23/1998,3.25,4.299636872,0.737304154
4/24/1998,5,4.417717877,2.55900659
4/25/1998,10.5,4.273918994,2.361215861
4/26/1998,23.75,12.6603352,1.682133722
4/27/1998,0.25,7.272879888,3.518804464
4/28/1998,1.75,5.219120112,2.234255811
4/29/1998,3.5,4.214815642,2.690810026
4/30/1998,0,3.585620112,2.124293202
5/1/1998,0,3.057812849,5.160981883
5/2/1998,0,2.661812849,4.729142377
5/3/1998,0,2.360865922,5.094644679
5/4/1998,0.5,2.19222905,1.814266058
5/5/1998,37.5,6.68928771,0.526926073
5/6/1998,8.25,7.414743017,2.044482876
5/7/1998,2,4.895019553,1.665185493
5/8/1998,0.75,3.835709497,4.124703356
5/9/1998,0,3.298575419,3.563045819
5/10/1998,9.75,3.365547486,1.339708267
5/11/1998,1.75,3.182379888,0.484086728
5/12/1998,0.25,2.868837989,3.043619633
5/13/1998,0,2.567790503,3.778998195
5/14/1998,2,2.385678771,3.39045408
5/15/1998,0,2.16751676,5.193104064
5/16/1998,0,1.942290503,5.978644174
5/17/1998,0,1.777550279,5.874425102
5/18/1998,0,1.641695531,6.593671743
5/19/1998,0,1.520874302,5.505125469
5/20/1998,0,1.416921788,6.292447442
5/21/1998,0,1.342784916,5.073752175
5/22/1998,0,1.260905028,3.707596254
5/23/1998,0,1.211581006,2.098352356
5/24/1998,0,1.173569832,2.708375469
5/25/1998,0,1.124597765,2.558237855
5/26/1998,5.5,1.116301676,1.764400298
5/27/1998,5,1.115421788,2.223617025
5/28/1998,0.25,1.070120112,3.908849536
5/29/1998,0.75,0.989396648,3.494941675
5/30/1998,0,0.914581006,5.968520238
5/31/1998,1.75,0.905756983,2.729761581
6/1/1998,3.5,0.886726257,3.25885097
6/2/1998,39.25,5.205418994,0.440536186
6/3/1998,3.5,1.942265363,1.728065248
6/4/1998,0,1.517958101,4.525846251
6/5/1998,3.75,1.366164804,2.005656373
6/6/1998,6.75,1.471022346,1.303410778
6/7/1998,7,1.869209497,2.08820294
6/8/1998,34.75,11.25226257,0.879831382
6/9/1998,8.5,7.492575419,1.999760831
6/10/1998,18.5,8.987731844,2.983629144
6/11/1998,8.5,8.397829609,3.821279933
6/12/1998,1,5.151243017,4.434517399
6/13/1998,20.25,7.766120112,1.113557065
6/14/1998,1.75,6.243385475,2.424482485
6/15/1998,0,4.616522346,2.641260949
6/16/1998,0.25,3.687435754,4.804419796
6/17/1998,24,5.081681564,1.741472465
6/18/1998,43.75,25.95695531,1.776556228
6/19/1998,0,12.10158101,6.645609787
6/20/1998,3,6.763122905,1.361951991
6/21/1998,2.25,4.84127095,3.18839133
6/22/1998,8.75,4.122351955,2.586468695
6/23/1998,22.25,9.50553352,2.49834202
6/24/1998,10.75,8.589041899,2.371421512
6/25/1998,29,12.10002235,2.379127912
6/26/1998,25.75,19.18965922,1.56100445
6/27/1998,8.25,15.89945531,2.297857344
6/28/1998,3.25,8.606136872,4.060408087
6/29/1998,1,6.112835196,2.386483997
6/30/1998,2.25,4.868346369,2.259986891
7/1/1998,0,3.932195531,4.186858367
7/2/1998,0,3.358684358,2.308877626
7/3/1998,0,2.888547486,5.15684128
7/4/1998,0.25,2.566583799,1.702391984
7/5/1998,2.75,2.320994413,2.495247595
7/6/1998,0.5,2.134307263,1.993520232
7/7/1998,0,1.858801676,4.377895766
7/8/1998,6.25,1.73549162,1.829098846
7/9/1998,15,3.480837989,2.13924728
7/10/1998,4.25,2.234187151,3.377256155
7/11/1998,21.5,4.182913408,1.461117066
7/12/1998,27.25,15.39688827,1.583677977
7/13/1998,8.75,7.524276536,1.775582287
7/14/1998,7,6.127918994,1.185130155
7/15/1998,1.5,5.142544693,3.42408562
7/16/1998,0,4.086175978,4.515978385
7/17/1998,6.25,3.581648045,3.036094215
7/18/1998,0.25,3.074153631,2.900015911
7/19/1998,2.75,2.775695531,2.037811742
7/20/1998,17.75,3.937675978,1.587466518
7/21/1998,27,7.89599162,1.845145167
7/22/1998,5.25,9.916843575,1.828861763
7/23/1998,7.5,8.245634078,1.788886571
7/24/1998,0.25,5.570924581,3.518797176
7/25/1998,0,4.356879888,3.385248572
7/26/1998,4.5,3.821505587,1.295266606
7/27/1998,0.5,3.320497207,2.967267722
7/28/1998,8.75,3.545949721,2.225688336
7/29/1998,17.5,6.006796089,1.907735125
7/30/1998,36,20.43047765,1.088411816
7/31/1998,5.5,11.45921229,1.069708268
8/1/1998,3.5,8.062365922,2.420074757
8/2/1998,0.25,5.89801676,3.733553066
8/3/1998,39,17.10879888,0.586034444
8/4/1998,0,10.49804749,2.358549846
8/5/1998,0.25,6.480150838,4.632168506
8/6/1998,0,4.998670391,2.468985303
8/7/1998,0,4.130120112,3.082614256
8/8/1998,0,3.491547486,6.202652393
8/9/1998,0.25,3.015603352,5.106118952
8/10/1998,0,2.698240223,2.342291898
8/11/1998,0,2.384371508,5.42357876
8/12/1998,6,2.329416201,1.306421899
8/13/1998,1.75,2.130159218,1.503091499
8/14/1998,30,5.150765363,0.89133502
8/15/1998,0,4.357458101,4.286343403
8/16/1998,0,2.933849162,2.460295896
8/17/1998,9.75,3.250432961,2.584022462
8/18/1998,0.25,2.653642458,4.21210745
8/19/1998,0.5,2.375748603,3.888270315
8/20/1998,33.25,4.404670391,1.769739352
8/21/1998,10.5,12.81642737,2.563542904
8/22/1998,0.5,5.128969274,2.278767251
8/23/1998,56.5,28.33655028,0.748484076
8/24/1998,0.75,11.71267039,3.72193919
8/25/1998,12,7.053586592,1.497155578
8/26/1998,3.5,7.649120112,1.711333672
8/27/1998,0,5.095583799,3.876416279
8/28/1998,0,4.110812849,2.1132523
8/29/1998,0,3.461455307,3.679391061
8/30/1998,0,2.979276536,3.773426203
8/31/1998,3.25,2.707391061,1.043448078
9/1/1998,2.25,2.539181564,2.159618848
9/2/1998,0,2.190846369,2.897920432
9/3/1998,0,1.967555866,4.13041593
9/4/1998,14.5,2.491541899,0.795970773
9/5/1998,0.25,2.330773743,2.973728524
9/6/1998,2.5,1.950108939,1.030362209
9/7/1998,13.5,2.507631285,1.075995356
9/8/1998,13.5,5.327069832,1.92766672
9/9/1998,30.5,16.75669274,1.244251545
9/10/1998,61,33.08269274,1.272144006
9/11/1998,11.75,24.95413408,1.215212639
9/12/1998,53,29.49053631,1.958491521
9/13/1998,2.75,19.20232961,2.965820918
9/14/1998,3.5,8.818265363,1.45127175
9/15/1998,12,7.410519553,0.802448583
9/16/1998,0,5.917022346,2.221569945
9/17/1998,1,4.588717877,2.725803995
9/18/1998,11,4.724446927,0.797045293
9/19/1998,2.25,4.157346369,1.20937957
9/20/1998,0.25,3.511960894,3.836748287
9/21/1998,0,3.129561453,1.387003484
9/22/1998,0,2.824013966,1.558701149
9/23/1998,0,2.505318436,1.98805386
9/24/1998,0,2.301837989,0.294065782
9/25/1998,0.5,2.13677095,0.448632954
9/26/1998,17.75,3.587706704,0.262117134
9/27/1998,0.5,3.603368715,0.541059042
9/28/1998,0,2.644667598,0.973852163
9/29/1998,8.25,2.347215084,1.785874715
9/30/1998,13.25,5.617181564,0.670889294
10/1/1998,2,3.759134078,0.614916559
10/2/1998,0.5,3.263178771,0.298185898
10/3/1998,0,2.933044693,1.521991797
10/4/1998,0.5,2.670310056,0.797901827
10/5/1998,0.75,2.424293296,0.678158932
10/6/1998,0.75,2.263148045,0.227946413
10/7/1998,0,2.072111732,1.681252155
10/8/1998,0,1.892111732,2.271739198
10/9/1998,16.25,3.069125698,0.695309731
10/10/1998,7.5,2.678304469,0.913753991
10/11/1998,13.25,5.641893855,1.993599146
10/12/1998,0,3.435812849,1.50303191
10/13/1998,21,5.405731844,0.263760621
10/14/1998,27.5,24.04060894,1.282751169
10/15/1998,0.25,7.559472067,0.780412001
10/16/1998,63,33.08221508,0.271243193
10/17/1998,8.75,19.30047486,0.274085683
10/18/1998,3.5,8.883301676,1.337419446
10/19/1998,7.5,6.585259777,0.742068865
10/20/1998,11.75,5.809600559,0.340644647
10/21/1998,12.25,12.82318994,0.62530256
10/22/1998,67,33.46639944,0.903633236
10/23/1998,38,45.53253352,0.357571418
10/24/1998,55.25,40.88001117,0.372942095
10/25/1998,20.5,25.16249162,0.773599381
10/26/1998,21.25,14.25969553,0.675604757
10/27/1998,75.75,55.63558659,0.28130138
10/28/1998,7.75,24.69024302,1.119824668
10/29/1998,13,11.50280447,0.751387065
10/30/1998,8.5,10.90168994,0.911048351
10/31/1998,20,11.62747207,0.071770161
11/1/1998,6.75,9.477879888,0.565229805
11/2/1998,17.5,12.15605866,0.163492499
11/3/1998,2.23117404,9.359346369,0.137818714
11/4/1998,7.805024305,7.094840782,0.404966674
11/5/1998,10.33456054,8.583259777,0.510442247
11/6/1998,4.480623915,7.2495,0.58067954
11/7/1998,0.60585984,5.760075419,0.655333715
11/8/1998,22.90194107,7.576039106,0.605720114
11/9/1998,10.30930016,12.95406704,0.522810104
11/10/1998,0.51757137,8.026969274,0.362002097
11/11/1998,3.193716705,5.977634078,0.572028211
11/12/1998,36.89135204,16.17450838,0.25445117
11/13/1998,11.3413505,11.16377095,0.276074807
11/14/1998,8.919794115,10.60727933,0.300308012
11/15/1998,0,7.145698324,0.297211229
11/16/1998,0.34005294,5.613712291,0.427555382
11/17/1998,0.08004278,4.603148045,0.160357745
11/18/1998,0,3.87148324,0.062777509
11/19/1998,0.32865642,3.351946927,0.121583455
11/20/1998,0.25465802,2.932994413,0.554208516
11/21/1998,0.8173984,2.610100559,0.340575565
11/22/1998,7.18422378,2.502527933,0.450059595
11/23/1998,0.4086992,2.357094972,0.309512738
11/24/1998,14.00634141,4.267458101,0.472227
11/25/1998,5.93109022,3.107589385,0.246803523
11/26/1998,7.484190845,3.366930168,0.266176985
11/27/1998,9.13689011,3.742868715,0.241237669
11/28/1998,16.46521988,9.269497207,0.199984197
11/29/1998,1.365876745,5.544930168,0.259827274
11/30/1998,1.365876745,4.34853352,0.139605395
12/1/1998,0,3.672150838,0.257724352
12/2/1998,0,3.235449721,0.065346957
12/3/1998,1.234915315,2.905114525,0.14411829
12/4/1998,0,2.590768156,0.110059526
12/5/1998,3.991568455,2.433519553,0
12/6/1998,0.86693069,2.182600559,0.129256534
12/7/1998,0.629907485,2.076335196,0.220422242
12/8/1998,27.86628022,9.730659218,0.157707993
12/9/1998,0.36798463,4.761553073,0.118777087
12/10/1998,7.61515228,4.596913408,0.26306107
12/11/1998,8.35112154,4.066114525,0.205318409
12/12/1998,14.10145101,7.930206704,0.399528337
12/13/1998,6.567460855,7.127924581,0.415188327
12/14/1998,24.97866565,14.38164804,0.200013813
12/15/1998,15.25520422,18.19096089,0.112093923
12/16/1998,0.25,9.506539106,0.426173323
12/17/1998,8.25,6.671865922,0.358165332
12/18/1998,15,8.174136872,0.025431989
12/19/1998,13,9.766910615,0.029709937
12/20/1998,0.25,6.835600559,0.446748379
12/21/1998,7.75,5.781921788,0.189006714
12/22/1998,7,5.765756983,0.310827284
12/23/1998,10.25,8.402405028,0
12/24/1998,36.75,16.15298883,0.088502384
12/25/1998,27.25,26.06860056,0.259858897
12/26/1998,11.25,14.96790503,0.621610969
12/27/1998,5.5,9.606041899,0.194664217
12/28/1998,3.5,7.631648045,0.009442821
12/29/1998,6.75,6.485882682,0.257210015
12/30/1998,2.25,5.820486034,0.239085186
12/31/1998,1.5,4.765826816,0.585413972
1/1/1999,16,4.783600559,0.220975167
1/2/1999,16.25,9.550206704,0.344175648
1/3/1999,30.5,14.70072067,0.238356983
1/4/1999,3.5,15.70105307,0.370330303
1/5/1999,11,12.59177933,0.141856171
1/6/1999,22.25,15.62055587,0.110477797
1/7/1999,15.75,15.70449721,0.128096083
1/8/1999,2.5,10.52725978,0
1/9/1999,0.75,7.295379888,0.281654896
1/10/1999,0,5.560265363,0
1/11/1999,0.5,4.501231844,0.417176106
1/12/1999,16.75,8.043385475,0.153699576
1/13/1999,28.5,14.99332123,0.262359974
1/14/1999,8,11.91514525,0.427322959
1/15/1999,70.25,47.32325698,0.270591089
1/16/1999,5.5,24.12517877,0.209518287
1/17/1999,9.75,10.66437151,0.051459593
1/18/1999,24.5,14.90575978,0.22102696
1/19/1999,20.75,19.04706704,0.217946498
1/20/1999,7.5,13.15991061,0.091879876
1/21/1999,0.5,8.477346369,0.093765967
1/22/1999,0,6.182547486,0.494314592
1/23/1999,7.5,5.574645251,0.071304438
1/24/1999,14.75,5.140055866,0.28781781
1/25/1999,32.25,26.26207542,0.314158301
1/26/1999,23,17.66916201,0.169826663
1/27/1999,34.25,16.32735754,0.306184821
1/28/1999,43,47.80955866,0.525690721
1/29/1999,0.5,10.77561453,0.216032427
1/30/1999,0,6.953832402,0.358414297
1/31/1999,0,5.299391061,0.231600297
2/1/1999,0.25,4.317662011,0.088489803
